Prior_Emotion	Sentence	Attention	Certainty	Effort	Pleasantness	Responsibility/Control	Situational Control
Disgust	I felt ... that the boss of a betting company had paid herself over two hundred million pounds this year, all earned off the backs of many people being forced into debt.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... when climbing some rocks because of the height and the danger of slipping.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... because my best friend visited the United States and was mugged at gunpoint and ended up with a broken arm which was bad enough, but then the police officers who took the complaint made him feel like it was all his fault and that they had no interest in doing anything about it even though he gave them more than enough details.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I was trying to contact my ex-wife and couldn't do so when she was very ill.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when walking alone after dark in an unknown area.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... that my bank had charged me so much for briefly exceeding my overdraft limit, considering how many hours it would take me to earn that amount in the outside world.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when me and my friend were talking. He insulted me.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when someone overtook my car on a blind bend and nearly caused an accident.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I was a boy living with my Mother. On one occasion she did not come home at the expected time. I was alone in the house at quite a young age. I was about seven or eight at the time. It was not for another couple of hours before she eventually came home.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I saw someone else got stabbed near me in Cartagena in Colombia.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... because my son had a lump come up under his arm. It turned out to be benign, but it is ... when you see your child ill for any reason.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... when a woman on the bus refused to fold her child’s buggy up to allow a wheelchair user to board.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I watched a scary movie at the night.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I realised the brake pads on my car were noisy. I felt very unsafe. I made an appointment with the garage to resolve the problem.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I opened the door to my partner's bathroom and saw the stinking state of the toilet.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I saw a man with open broken leg wounds on 24 hours in AE.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	"I felt ... watching ""I'm a celebrity"" when the contestants have to drink and eat certain parts of animals anatomy that we wouldn't normally eat, and drink glasses of liquid. The worst was a glass of fish eye juice. It was a full glass and the contestant had to drink it all. That was ..."	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when I was at work and nothing seemed to be going right. I was in a rush as I needed to leave work a small bit earlier that particular day, and was trying to get a lot done in a short space of time. Unfortunately, things started to go wrong, the more they went wrong, the more mistakes I made and the ... I became. The ... I became, the more mistakes I made, which just led to a very vicious circle.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	"I fetl ... when I saw celebrities having to hold worms and fish eyes in their mouth on ""I'm a celebrity get me out of here."""	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I saw somebody vomiting on a train.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... when I did a bungee jump. It was the first time I had done an extreme sport and I was ... of the height of the jump.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... when my best friend told me I was a useless person.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when I had a disagreement with my brother about something, and afterwards I was ... with myself for not saying things that should have been said.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when my neighbour dumped his rubbish in my garden and started to scream nonsense about my garden belonging to him.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when having a meal with a group of people and one of them made a point of emphasizing a loud fart and trying to make it into a big laugh. I and others were ... and made it very clear.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when Donald Trump was elected US President.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when my elderly mother gave me a cup of coffee made with mouldy instant coffee.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... because a fight broke out in a bar where I was drinking	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when an old man pissed in the middle of the road while I was passing by.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... because there was potential for some bad weather in my area about a month ago and I was very ... that it might cause some damage it wasn't as severe and no damage in the end thankfully.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I had to remove a large spider from the house.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when my ex husband threatened me and put me down in front of my children.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... when walking around Lima, Peru after midnight when there was a blackout. I felt very vulnerable to being mugged.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... because my son was slapped at school by a teaching assistant.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... with my family that they voted for BREXIT and so ultimately to deport their Scottish born family member when this destroys the UK.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … because my 8 week old son had problems breathing and was turning blue.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when my father was diagnosed with terminal cancer	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Fear	I felt … when I was taking my dog for a walk and another lady was walking a dog that wasn’t on a lead when the dog saw my dog it ran over and was snarling and barking at it.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when I saw a medical operation on a TV show.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... when my step moms’ brother said something funny just after she’d died, and I laughed. Everyone in the room was staring at me and I felt like a complete idiot for laughing.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Fear	I felt … when I heard someone walking around downstairs but I knew I was home alone.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … when a superior at work decided to make a huge issue out of something very petty just to try and show their authority/try to prove they have power over me.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I watched a good movie.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when I woke up one morning to hear the radio alarm clock declaring that Princess Diana had died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... because I was caught out lying about my diary engagements to escape a celebration meal with my inlaws.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Disgust	I felt … when I walked into a tube carriage and saw a brown stain on one of the seats that looked suspiciously like a faecal smear. I hoped my coat hadn’t brushed past it and I felt real ….	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when I found out one of my favourite shops had shut down.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... because I forgot to do something that I promised I would do for someone.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I feel … because life is an unknown, and it's not knowing in life that brings me fear. It's … sometimes. I feel it everyday.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when I was walking along and I saw this dog excrement on a door stop. The door stop was raised above the street. How can dog owners not pick up after their pets.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... because I had to have my chocolate labrador put to sleep as she was old and her quality of life wasn’t very good.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my mother passed away from cancer.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … when my kitten was sick and I had to clean it up.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … when a couple were arguing right outside my living room window and I heard one of them smack into the window. I was … they were going to damage my house (that’s rented so I’d be forced to pay for the damage) but I was also … I’d be included in the argument then.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … when I realised that I made a mistake at work.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … because someone was yelling at me in a threatening manner when I did something wrong.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … when my friends baby started choking, she froze and started panicking, I took the baby off her turned it upside down and slapped its back a few times she coughed a few times then calmed down and started breathing normally.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... when I stole a pencil from a shop by mistake, but went too far away to return it.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... because a colleague of mine, whom I have known for many years, announced that he and his wife were finally expecting a child after many years unsuccessfully trying. I was so ... and ... at this news as I knew how hard it was for them and they almost separated a few times due to the stress and pressure.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... because I was not able to answer a very simple question in the exam. Even the least intelligent person in the class got it.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when I left the house and forgot to lock up, not realising my mistake for several hours.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when I went to a party where I got quite drunk. While I was there I bumped into a neighbour and started talking to him. I only remember snippets of the conversation but I know that I embarrassed myself by saying stupid things. For ages I had to try and avoid bumping into him in my building.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when my grandma sent me an unexpected gift just because she wanted to make me ... . She doesn’t have a lot of money so that’s even more reason why I would never expect anything from her. We live a long way apart so getting something from her means a lot to me.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I said something inappropriate to a friend and then wished I had never opened my mouth.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... because we managed to get a mother bat to collect her baby that she had lost and fly off with it.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... when I told my boyfriend his favourite programme wasn’t on the telly because he watches it all the time and I wanted to watch something else.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I weighed myself after Christmas.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when awaiting the email results of an important and very expensive accountancy exam I had taken a few months previously.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I managed to lock myself out of my car whilst my keys were inside the car and the engine was running!	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … because I saw how some men treat women, especially in African countries and being a woman I don't want to find myself in any danger of being raped, or killed.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I argued with old woman and called her stupid.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when our kitten escaped in the late evening and we thought he was lost.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... because I was a quizmaster at a party and I made a mess of it as I hadn't prepared adequately.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I feel … because we are staying home on New Year's Eve and I should perhaps have organised something for the kids.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when I went on holiday to Tunisia and it was an all inclusive holiday, a lady was eating a plate full of prawns in their shells and the flies were all over them.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt … when I saw a bag full of moulded bananas on my kitchen counter. I felt … because I’d already cleaned the space and somehow missed them, so I had to clean it all again.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt ... because I had not made enough effort to return an item that I had borrowed from someone and they then had to come to find me in order to get the item back and this was embarrassing and made me feel rather ... that I had inconvenienced them. It may have harmed our relationship in the long term due to the tension over the issue.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when I drank too much and fell asleep.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when I had done something stupid and gone over drawn on my bank account that would cause a snowball of payments not being paid out.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … because I watched a … inducing movie on TV late in the night.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I turned up drunk at a party and made a show of myself.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Disgust	I felt … when I saw the amount of dog mess left along a footpath near my home, ruining what would otherwise be a wonderfully pleasant walk.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... when I got drunk and squeezed a strangers bum, not ... of it at the time - but definitely the next day when I sobered up.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when I encouraged my mother to report a dangerous driver, then she got attacked and nearly died by the driver when the police told the person she reported that it was her that did it. I felt ... because it was my fault she even went to the police about it in the first place and I nearly caused her to die.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when my partner was in hospital. He was really really ill and I was … they weren't going to find out why.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when my children made an inappropriate noise in public.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt … at watching people eating dogs in a documentary on TV.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when I broke the screen of my laptop by accident.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … when housesitting a cottage in the countryside a few autumns ago for some friends who had gone abroad. That particular weekend was rather windy;  I was all alone and there were all sorts of strange sounds making me uneasy.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … when someone at my work said something rude to me.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... watching my sapphire ring sparkle in the sunshine.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt a lot of … towards my friend because he stole my wallet.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt ... because I spent Christmas with my family.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt great ... when we had to put our pet cat Skippy to sleep at the vets.  She was quite old and began to have serious health problems.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when I heard that my husband's mother had to go back into hospital again after days of being home and appearing to get well.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when my cat ate for the first time after being too sick to eat for weeks. Knowing she was eating again meant that she should survive so I’m glad she ate.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … when I ordered a salad from a restaurant and there was slug attached to a piece lettuce.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when I remembered my grandfather, who died around Christmas time seven years ago - he is always missed at the festive table.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when I was a young child in 1980 at the age of of just ten. I was waiting desperately for my computer to arrive which was the Sinclair ZX80 that my dad had ordered from Sinclair Research, I was absolutely addicted to computers as an autistic child but only had access to one for a limited time when my dad occasionally brought a Commodore Pet home from work and I was absolutely desperate to get a computer of my own. Every day I'd come back from school desperately hoping it had arrived to another day of disappointment. When it finally arrived after lots of delays I felt a huge amount of intense ... and also excitement, it was one of the best warm feelings as an autistic child I could have felt, it was like all my Christmas's had come together in one, I couldn't wait to get it connected and only my parents forcing me to go to bed later that night forced me away from it or I would have stayed up all night and the ... of receiving it remained for a long time, this remained an obsession that never ended. It's probably difficult to understand how much ... I felt to receive such a basic computer by someone who doesn't have an addictive autistic interest like I did and still have, but I haven't stopped using computers every day since then and I'm now 49 years old.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when I was criticized doing my job at work.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt … when my Grandfather was very ill and I got a telephone call at 2am and, knowing who it would be and what it would be about, I pretended to be asleep and didn't answer. I found out the next morning my Grandfather had died and, if I had answered the phone, I could have gone and seen him before he passed away. This was nearly 20 years ago and I still feel … about it regularly.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when we went to see my best friends dad in a hospice as he was very ill and he then passed away. My friend was intensely upset and seeing her like this made me feel ... for her future and how she has to live without him here. I felt ... for what she had lost.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... when I recall that I cheated on my husband, something I should never have done and now wish I hadn’t.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when I had to appear as a witness in court when I knew the person on trial.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when I had to leave to go home on Christmas Day, I knew I would miss my family going back home and Christmas was all but over.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... by not letting my sister help me sort out my bedroom, after she offered.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when my dad died last year.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when my favourite character finally got the love interest he wanted.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when someone broke something I owned intentionally.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … that I would not score that good in my last exam because of what my family will say.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I feel … when people don't close their mouths when eating and talk with their mouths full.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … when my grandmother didn't answer the door when I visited. I was … that she was ill or had had a fall.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I saw a man known as Wooley yesterday and as I knew that there is a Wooley spotters social media page, I did not make it known to him.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when I left my mother dealing with my father's illness.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt … when my step dad kicked my dog. The dog wasn’t even in his way - he’d already moved, and he just launched himself at the dog kicking him. I was … because I hate anyone that hurts animals.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... when I remember an embarrassing social faux pas from my teenage years.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... at a nearby footpath level crossing over a railway line that the remains of a fox was present - and had likely been hit by a train.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I felt … when my co-worker said they had completed a task which I later found they had not.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt … when I had not done a job for a friend that I had promised to do.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when I recently heard of a man that had a dog and was encouraging it to fight with other dogs that they met in the street.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when someone hit my husbands brand new car while it was parked in the police station but no one saw or knew anything about it.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt ... when competing in a competition and I took the winning spot just seconds before the contest was over. The person that was bumped down to second was a child and they were very upset at losing. I hadn’t intentionally overtaken them and felt really ... about making them sad.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt … when my ex husband was hateful towards our children.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt … when I crashed my grandfather's car.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … while hanging onto the side rope of a raft in a white water rapid with a rock coming up very quickly with my name on it.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … when standing on the river bank at Cantley Christmas Eve, about to take a photo, the fear of falling in.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when my pet died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I remember being ... when as a young teenager I phoned a girl I liked to ask her out to our school's football match.  She turned me down flat. The sense of ... came when I saw this girl later in the week.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I was once … when on my first flight abroad I experienced a spell of air turbulence.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when I saw someone saying something intentionally unkind to someone else.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I feel… because I lied to my partner.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when I applied for low-paid job at a place where lots of people knew me as a 'professional'. I felt … because people would know that I had 'failed' at what I had been trying to achieve for the last few years.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when watching a television documentary about a child killer.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when politicians overruled the local will of the people on a planning issue.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... when my girlfriend slapped me.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when I thought I had lost my purse in town.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I was in a hurry and passed by a charity worker asking for donations.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... because my daughter was handpicked to travel abroad to prepare an advertising campaign for a well known charity.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I feel ... when I spend time with my partner, he makes me laugh and makes me forget about my problems when we're together. Spending time with family too fills me with ..., especially my mum.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt … because my dog was playing ball of the lead with another younger dog, and suddenly for seemingly no reason mine decided to bare his teeth at the other dog and have a go. I felt like a bad dog owner.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when my daughter told me she has a prestigious job lined up.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... when I ate a large amount of cake.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when one of my very shy foster cats came and sat beside me for a cuddle and purred contentedly.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I pretended to be less able bodied than I am so I could get a seat on a busy train.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when I saw a gigantic spider in the bath.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … because I felt that I was not given enough credit for the quality of the work that I had done because the managers were only interested in the quantity of the work submitted and did not take into account the difficulty or the depth that was required to complete what I had done.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when I saw dog dirt left on a public footpath probably because the owner couldn't pick it up.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I completed my first half marathon.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... that a friend's pet rabbit had to be put to sleep, although he was a fine age and had always been wonderfully cared for.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my boyfriend of several years broke up with me.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I felt … because I got cut up by another car when driving.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I feel … because I have forgotten to renew my library books and those of my elderly neighbour and was worried that she would get a fine.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I feel ... because I look back on my younger school days and I wasn't very nice to some people.  Even now it still bothers me that I could have been like that when I wouldn't dream of being horrible to someone as an adult.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I was very pleased when a dad gave me a bike.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	The last time I felt really ... was the day I heard that Stan Lee (creator of Marvel) died as I have always been a big fan of his.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt … because I didn't really want my eldest son to come over for Christmas when I should have left old feelings aside.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt … when I took full credit for a money saving initiative at work that was actually a concept that originated with a co-worker.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when my brother farted when I was eating.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt a lot of … that my mother wouldn't know that I was smoking with my friends.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when I watched a documentary on Vegan militants and the footage they had shown on pig and chicken farms made me feel awful for the animals.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt ... when I won £210 on a slot machine, so I could buy myself some emeralds.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when I found out that my son was being bullied after he started Secondary school and I stayed … until something was done about it. I was so … about it that I was close to hitting the person involved as well as their Father but managed to restrain myself.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when I walked my kids to school after the Christmas holidays and the walkway was full of dog poop.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... because I forgot someone’s name when they came to visit.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when I walked past a homeless person sleeping on the streets of London.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I felt … when I watched elected MPs being harassed by protestors.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when my favourite football team won the cup final.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when I had to return home after a particularly good break away.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when I was in an amateur dramatics and got a singing part in a musical called Kiss Me Kate and got to sing a big number called To Darn Hot. The show ran for a week and I was able to perform this to hundreds of people each night.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … when I took my cat to the vet because I thought she was going to die.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … when a man allowed his dog to try and bite mine and thought it was funny.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... because I had hit my goal for the day.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when I saw a homeless cat on the street.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Fear	I felt … when my youngest son went into hospital for another set of tests and I was scared that it would be something life threatening.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... because my dog was very ill and had to be put to sleep.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I feel ... because I didn't spend as much time as I should with my ill brother before he died.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt … when I let my dog out in the garden one and then forgot and went to bed in the morning the poor thing was crying outside the door.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I was given a very special spinning wheel as a surprise on my birthday from all my family.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … when I had to plunge the toilet as it had gotten clogged.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt ... when I inadvertently failed to pay the 5p charge for a carrier bag when using the self service checkout machine at my local supermarket.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when I was abseiling down a cliff-face.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... when I overindulged.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when I saw how migrants die crossing the Mediterranean sea.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when my daughter was born.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when the neighbours’ son smashed my window with his football, and I was made to pay the damage by my landlord while the son continued to throw and kick his ball at my window.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … when I was zip lining in Costa Rica. I was up really really high and I looked down on the middle of a line this gave me … that I was going to fall and ultimately die.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I feel … when I have been let down by people that I thought were friends.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt ... when I saw my eldest son home from university after three months away.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... as a teenager, I belonged to St John's Ambulance (a First Aid charity) and while walking with my Grandparents, I saw someone collapsed but, as there was a crowd around them, I didn't want to go and see if I could help so I just carried on walking, despite my Grandparents telling me otherwise. I later felt ... that I hadn't at least offered to help ad it still ... me to this day.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
